"Year","Game","Count","Conf.Game","Week","Team","Conference","Tm.HAN","Tm.FU","Tm.Cover","Tm.OU","Field25","Opp","Opp.Conference","Opp.HAN","Opp.FU","Opp.Cover","Opp.OU","OT","Thursday","TOP.VERIFICATION","OU.Total","Tm.Points","Tm.Spread","Tm.Passes","Tm.Pass.Yards","Tm.YPPA","Tm.Rush.Attempts","Tm.Rush.Yards","Tm.YPRA","Tm.Total.Plays","Tm.Total.Yards","Tm.YPP","Tm.TO","Tm.Pen.Yards","Tm.TOP","Opp.Points","Opp.Spread","Opp.Passes","Opp.Pass.Yards","Opp.YPPA","Opp.Rush.Attempts","Opp.Rush.Yards","Opp.YPRA","Opp.Total.Plays","Opp.Total.Yards","Opp.YPP","Opp.TO","Opp.Pen.Yards","Opp.TOP","Victory","Pts.Diff","TO.Diff","Victory.1","Pts.Diff.1","Opp.Off.Points","Opp.Off.Spread","Opp.Off.Passes","Opp.Off.Pass.Yards","Opp.Off.YPPA","Opp.Off.Rush.Attempts","Opp.Off.Rush.Yards","Opp.Off.YPRA","Opp.Off.Total.Plays","Opp.Off.Total.Yards","Opp.Off.YPP","Opp.Off.TO","Opp.Off.Pen.Yards","Opp.Off.TOP","Opp.Def.Points","Opp.Def.Spread","Opp.Def.Passes","Opp.Def.Pass.Yards","Opp.Def.YPPA","Opp.Def.Rush.Attempts","Opp.Def.Rush.Yards","Opp.Def.YPRA","Opp.Def.Total.Plays","Opp.Def.Total.Yards","Opp.Def.YPP","Opp.Def.TO","Opp.Def.Pen.Yards","Opp.Def.TOP","Opp.Victory","Opp.Pts.Diff","Opp.TO.Diff","offense.points.dif","defense.points.dif","offense.YPPA.dif","defense.YPPA.dif","offense.YPRA.dif","defense.YPRA.dif","offense.Pass.Yards.dif","defense.Pass.Yards.dif","offense.Rush.Yards.dif","defense.Rush.Yards.dif","TO.Diff.dif","Victory.dif","offense.Total.Plays.dif","defense.Total.Plays.dif","offense.Total.Yards.dif","defense.Total.Yards.dif","Home.Binary","original.order","matchup.num","Class_Points","recruit_lag1","recruit_lag2","recruit_lag3","recruit_lag4","recruit_2avg","recruit_3avg","recruit_4avg","home.ind","away.ind","field.status","game.id"
2012,171,1,"Y",4,"UNLV","MWC","H","U","Y","O",NA,"Air Force","MWC","A","F","N","O","N","N",3600,NA,27,97.5,42,233.5,5.235,35,130,3.68,77,363.5,4.665,2,57,1876.5,32.5,97.5,37.5,323.5,8.685,33.5,146,4.245,71,469.5,6.635,2,107,1723.5,0,-5.5,0,1,3,25,30,19,127,6.68,71,290,4.08,90,417,4.63,0,35,2122,31,30,25,208,8.32,31,214,6.9,56,422,7.54,1,45,1478,0,-6,1,-4,7.5,-3.085,2.005,-3.22,0.165,25.5,196.5,-84,-144,-1,0,21,-19,-58.5,52.5,1,5611,11,102.45,27.69,124.77,124.66,101.14,76.23,92.37333333,94.565,1,0,1,"2012171"
2012,187,1,"Y",5,"Colorado State","MWC","A","U","N","O",NA,"Air Force","MWC","H","F","Y","O","N","N",3600,NA,20.33333333,35.66666667,34.33333333,231.3333333,6.97,34,107,3.233333333,68.33333333,338.3333333,4.966666667,1,48.66666667,1690.666667,29.33333333,35.66666667,35.66666667,264.6666667,7.47,37,153,3.926666667,72.66666667,417.6666667,5.693333333,2,56,1909.333333,0.333333333,-9,1,0,-21,30,18,14,108.5,8.34,68,321,4.75,82,429.5,5.3,0.5,29.5,1894,34.5,18,28.5,229,8.065,35.5,206.5,5.94,64,435.5,6.89,1,53.5,1706,0,-4.5,0.5,-14.16666667,-0.666666667,-1.095,-0.87,-2.706666667,-0.823333333,2.333333333,156.1666667,-99.5,-168,0.5,0.333333333,4.333333333,-9.333333333,-97.16666667,-11.83333333,0,1135,12,60.76,122.79,143.93,114.19,109.46,133.36,126.97,122.5925,0,1,-1,"2012187"
2012,226,1,"N",6,"Navy","Independent","A","U","Y","U",NA,"Air Force","MWC","H","F","N","U","Y","N",3600,NA,5.666666667,36.66666667,18.66666667,134,7.066666667,46,158,3.273333333,64.66666667,292,4.403333333,3.333333333,18.66666667,1729,32,36.66666667,26.66666667,236,9.116666667,38.66666667,170.3333333,4.29,65.33333333,406.3333333,6.343333333,0.666666667,38.66666667,1871,0,-26.33333333,-2.666666667,1,7,34,16.33333333,11,91.33333333,9.36,67.66666667,367,5.45,78.66666667,458.3333333,5.923333333,1,29.66666667,1827.333333,30,16.33333333,31,256.6666667,8.266666667,35,180.6666667,5.223333333,66,437.3333333,6.693333333,1.666666667,64.33333333,1772.666667,0.333333333,4,0.666666667,-24.33333333,-2,-1.2,-0.243333333,-1.95,-1.16,-122.6666667,144.6666667,-22.66666667,-196.6666667,-3.333333333,-0.333333333,-1.333333333,-13.33333333,-145.3333333,-52,0,3345,13,77.25,24.64,36.32,33.97,73.09,30.48,31.64333333,42.005,0,1,-1,"2012226"
2012,315,1,"Y",7,"Air Force","MWC","A","F","N","U",NA,"Wyoming","MWC","H","U","Y","U","N","N",3600,NA,30.75,36.5,11.5,104.5,9.79,66.75,366,5.505,78.25,470.5,6.0875,1.5,24.75,1796.75,29.5,36.5,24.75,211,9.2825,39.75,206.75,5.2375,64.5,417.75,6.515,1.25,58.25,1803.25,0.25,1.25,-0.25,1,1,29,38.5,34,297.5,8.9675,35.75,119,3.28,69.75,416.5,6.1125,1.75,55.25,1670,35.75,38.5,40.5,300,7.25,41.75,203.5,4.81,82.25,503.5,6.12,1.75,55.25,1930,0.25,-6.75,0,-5,0.5,2.54,0.315,0.695,1.9575,-195.5,-86.5,162.5,87.75,-0.25,0,-4,-5.25,-33,1.25,0,14,14,121.46,0,24.1,91.94,23.97,12.05,38.68,35.0025,0,1,-1,"2012315"
2012,365,1,"Y",8,"New Mexico","MWC","A","U","Y","U",NA,"Air Force","MWC","H","F","N","U","N","N",3600,NA,21,49.8,14.2,66.8,4.756,50.4,250.8,4.766,64.6,317.6,4.74,1.2,35.8,2022.8,32.6,49.8,37,300.2,8.208,31,174.2,5.316,68,474.4,6.904,1.6,49.8,1577.2,0.4,-11.6,0.4,0,-5,30.2,47.4,11.2,111.8,10.652,63.6,338.8,5.306,74.8,450.6,6.086,1.4,21.8,1736,29,47.4,27.2,207.8,8.48,40.6,215.8,5.336,67.8,423.6,6.316,1.2,55.6,1864,0.4,1.2,-0.2,-8,2.4,-3.724,-2.444,-0.57,0.01,-141,188.4,35,-164.6,0.6,0,-3.2,-6.8,-106,23.8,0,3509,15,116.03,39.33,144.25,94.38,106.1,91.79,92.65333333,96.015,0,1,-1,"2012365"
2012,380,1,"Y",9,"Nevada","MWC","A","F","N","O",NA,"Air Force","MWC","H","U","Y","O","N","N",3600,NA,41,39.16666667,32.33333333,271.6666667,8.573333333,52.5,247.5,4.615,84.83333333,519.1666667,6.163333333,1.5,68.33333333,1841.5,30.66666667,39.16666667,37,249.8333333,6.768333333,37,158.5,4.408333333,74,408.3333333,5.566666667,1.333333333,68,1758.5,0.666666667,10.33333333,-0.166666667,0,-17,29.83333333,40.5,10.5,105.6666667,10.66166667,61.5,330.8333333,5.373333333,72,436.5,6.123333333,1.666666667,22.33333333,1675.333333,28,40.5,24.5,178.8333333,7.581666667,43.66666667,248,5.601666667,68.16666667,426.8333333,6.318333333,1.166666667,52.16666667,1924.666667,0.5,1.833333333,-0.5,13,0.833333333,0.991666667,-3.893333333,-0.986666667,-0.965,92.83333333,144.1666667,-0.5,-172.3333333,0.333333333,0.166666667,16.66666667,2,92.33333333,-28.16666667,0,3458,16,130.84,8.99,128.93,113.49,107.14,68.96,83.80333333,89.6375,0,1,-1,"2012380"
2012,442,1,"N",10,"Army","Independent","H","U","Y","U",NA,"Air Force","MWC","A","F","N","U","N","N",3600,NA,27.85714286,57.71428571,9.857142857,64.14285714,6.472857143,69.71428571,398.8571429,5.768571429,79.57142857,463,5.854285714,1.428571429,31.14285714,2007.571429,38.85714286,57.71428571,24.42857143,236.2857143,9.441428571,38.42857143,228.2857143,6.158571429,62.85714286,464.5714286,7.534285714,0.857142857,39.28571429,1592.428571,0.142857143,-11,-0.571428571,1,20,32.42857143,41.71428571,10,110.4285714,11.97571429,64.42857143,349.4285714,5.408571429,74.42857143,459.8571429,6.211428571,1.714285714,24.14285714,1732.714286,28.42857143,41.71428571,24.85714286,183.4285714,7.614285714,43.14285714,236.7142857,5.405714286,68,420.1428571,6.225714286,1.142857143,49.42857143,1867.285714,0.571428571,4,-0.571428571,-0.571428571,6.428571429,-1.141428571,-2.534285714,0.362857143,0.75,-119.2857143,125.8571429,162.1428571,-121.1428571,0,-0.428571429,11.57142857,-11.57142857,42.85714286,4.714285714,1,394,17,34.14,4.96,94.48,79.82,66.25,49.72,59.75333333,61.3775,1,0,1,"2012442"
2012,512,1,"Y",11,"Air Force","MWC","A","U","N","U",NA,"San Diego State","MWC","H","F","Y","U","N","N",3600,NA,31,48.125,12.375,126,11.49125,61.75,318.625,5.0325,74.125,444.625,6.02125,2.125,25.5,1695.875,30,48.125,22.5,173,8.74625,47.25,246.375,5.24625,69.75,419.375,6.07875,1,48.375,1904.125,0.5,1,-1.125,0,-19,33.55555556,46.33333333,24.33333333,183.1111111,7.541111111,45.33333333,208.8888889,4.626666667,69.66666667,392,5.642222222,1.666666667,47.55555556,1898.444444,24,46.33333333,32.77777778,227.8888889,6.556666667,36,132.7777778,3.605555556,68.77777778,360.6666667,5.16,1.888888889,55.22222222,1701.555556,0.666666667,9.555555556,0.222222222,7,-3.555555556,4.934583333,1.205138889,1.426944444,0.619583333,-101.8888889,-10.11111111,185.8472222,37.48611111,-1.347222222,-0.166666667,5.347222222,0.083333333,83.95833333,27.375,0,18,18,121.46,0,24.1,91.94,23.97,12.05,38.68,35.0025,0,1,-1,"2012512"
2012,540,1,"Y",12,"Hawaii","MWC","A","U","Y","U",NA,"Air Force","MWC","H","F","N","U","N","N",3600,NA,15.25,53.5,37,201.125,5.36125,33,84.875,2.495,70,286,4.015,3.5,59.75,1698.625,48.5,53.5,26.75,224.5,8.3675,45.875,230,4.81125,72.625,454.5,6.26875,1,66.875,1901.375,0,-33.25,-2.5,0,-14,28.55555556,53.11111111,13.11111111,120.1111111,10.64111111,62.44444444,318.7777778,4.996666667,75.55555556,438.8888889,5.854444444,2.333333333,24,1733.333333,29.77777778,53.11111111,22,163.7777778,8.33,46.55555556,238.7777778,5.145555556,68.55555556,402.5555556,5.907777778,1.111111111,44.66666667,1866.666667,0.444444444,-1.222222222,-1.222222222,-14.52777778,19.94444444,-2.96875,-2.273611111,-2.650555556,-0.185416667,37.34722222,104.3888889,-153.9027778,-88.77777778,-1.277777778,-0.444444444,1.444444444,-2.930555556,-116.5555556,15.61111111,0,1777,19,121.83,42.06,132.38,143.61,121.43,87.22,106.0166667,109.87,0,1,-1,"2012540"
2012,626,1,"Y",13,"Fresno State","MWC","H","F","Y","O",NA,"Air Force","MWC","A","U","N","O","N","N",3600,NA,39.8,50.8,42.1,309.4,7.545,36.6,165.9,4.444,78.7,475.3,6.094,1.5,69.3,1833.1,24.2,50.8,30.9,169.1,5.431,41.6,174.7,3.917,72.5,343.8,4.74,2.9,52.8,1766.9,0.7,15.6,1.4,1,33,27.8,51.2,11.8,108.1,9.577,63,320.7,4.994,74.8,428.8,5.766,2.3,23.6,1750.9,27.5,51.2,22.7,159.9,7.928,45,218.6,4.75,67.7,378.5,5.587,1.1,42.2,1849.1,0.5,0.3,-1.2,12.3,-3.6,-0.383,-4.146,-0.306,-1.077,149.5,61,-52.7,-146,2.6,0.2,11,-2.3,96.8,-85,1,1614,20,81.28,32.9,153.44,123.08,140.29,93.17,103.14,112.4275,1,0,1,"2012626"
